date,lake,Tmin
01/08/2016,Yuriria,14.4
01/08/2016,Zempoala,8.9
01/09/2016,Chapala,17.7
01/09/2016,Amela,23.3
01/09/2016,Yuriria,13.8
01/09/2016,Zempoala,8.3
01/10/2016,Chapala,16.7
01/10/2016,Amela,23
01/10/2016,Yuriria,11.9
01/10/2016,Zempoala,6.6
01/11/2016,Chapala,14.3
01/11/2016,Amela,21.9
01/11/2016,Yuriria,9.3
01/11/2016,Zempoala,5.6
01/12/2016,Chapala,23.5
01/12/2016,Amela,33.2
01/12/2016,Yuriria,24.7
01/12/2016,Zempoala,15
01/01/2017,Chapala,12.6
01/01/2017,Amela,17.3
01/01/2017,Yuriria,5.1
01/01/2017,Zempoala,1.3
01/02/2017,Chapala,13.5
01/02/2017,Amela,16.5
01/02/2017,Yuriria,6.6
01/02/2017,Zempoala,2.4
01/03/2017,Chapala,15.5
01/03/2017,Amela,17.5
01/03/2017,Yuriria,8.6
01/03/2017,Zempoala,4.2
01/04/2017,Chapala,16.2
01/04/2017,Amela,16.6
01/04/2017,Yuriria,10.2
01/04/2017,Zempoala,4.9
01/05/2017,Chapala,18.6
01/05/2017,Amela,19.5
01/05/2017,Yuriria,13.6
01/05/2017,Zempoala,8.4
01/06/2017,Chapala,19.2
01/06/2017,Amela,24.5
01/06/2017,Yuriria,14.6
01/06/2017,Zempoala,8.5
01/07/2017,Chapala,17.5
01/07/2017,Amela,22.9
01/07/2017,Yuriria,13.8
01/07/2017,Zempoala,8.6
01/08/2017,Chapala,18
01/08/2017,Amela,23.3
01/08/2017,Yuriria,14.4
01/08/2017,Zempoala,9
01/09/2017,Chapala,17.7
01/09/2017,Amela,23.4
01/09/2017,Yuriria,13.5
01/09/2017,Zempoala,9
01/10/2017,Chapala,16.8
01/10/2017,Amela,23.4
01/10/2017,Yuriria,11.5
01/10/2017,Zempoala,9
01/11/2017,Chapala,14.8
01/11/2017,Amela,21.9
01/11/2017,Yuriria,6.5
01/11/2017,Zempoala,5.5
01/12/2017,Chapala,22.6
01/12/2017,Amela,32.7
01/12/2017,Yuriria,25.7
01/12/2017,Zempoala,21.7
01/01/2018,Chapala,12.4
01/01/2018,Amela,17.5
01/01/2018,Yuriria,4.1
01/01/2018,Zempoala,10.8
01/02/2018,Chapala,14.1
01/02/2018,Amela,19.5
01/02/2018,Yuriria,8.2
01/02/2018,Zempoala,13
01/03/2018,Chapala,15.8
01/03/2018,Amela,17.7
01/03/2018,Yuriria,9.3
01/03/2018,Zempoala,15.8
01/04/2018,Chapala,17.3
01/04/2018,Amela,17.6
01/04/2018,Yuriria,10.7
01/04/2018,Zempoala,16.8
01/05/2018,Chapala,18.9
01/05/2018,Amela,22.6
01/05/2018,Yuriria,14
01/05/2018,Zempoala,15.7
01/06/2018,Chapala,18.6
01/06/2018,Amela,23.9
01/06/2018,Yuriria,14.8
01/06/2018,Zempoala,15.6
01/07/2018,Chapala,17.5
01/07/2018,Amela,24
01/07/2018,Yuriria,13.6
01/07/2018,Zempoala,16.6
01/08/2018,Chapala,17.9
01/08/2018,Amela,22.6
01/08/2018,Yuriria,13.2
01/08/2018,Zempoala,8.7
01/09/2018,Chapala,17.8
01/09/2018,Amela,22.6
01/09/2018,Yuriria,14
01/09/2018,Zempoala,8.6
01/10/2018,Chapala,17.5
01/10/2018,Amela,23
01/10/2018,Yuriria,13.5
01/10/2018,Zempoala,11.5
01/11/2018,Chapala,14.11111111
01/11/2018,Amela,20.38333333
01/11/2018,Yuriria,8.816666667
01/11/2018,Zempoala,4.517391304
01/12/2018,Chapala,12.58064516
01/12/2018,Amela,17.79032258
01/12/2018,Yuriria,4.724137931
01/12/2018,Zempoala,4.944444444
01/01/2019,Chapala,13
01/01/2019,Amela,18.43333333
01/01/2019,Yuriria,5.741935484
01/01/2019,Zempoala,2.451612903
01/02/2019,Chapala,14.55357143
01/02/2019,Amela,17.51785714
01/02/2019,Yuriria,7.785714286
01/02/2019,Zempoala,5.767857143
01/03/2019,Chapala,16.08064516
01/03/2019,Amela,18
01/03/2019,Yuriria,9.451612903
01/03/2019,Zempoala,6.270833333
01/04/2019,Chapala,16.83333333
01/04/2019,Amela,17.5
01/04/2019,Yuriria,10.15
01/04/2019,Zempoala,5.113636364
01/05/2019,Chapala,18.5483871
01/05/2019,Amela,20.46774194
01/05/2019,Yuriria,12.62903226
01/05/2019,Zempoala,8.206896552
01/06/2019,Chapala,19.45
01/06/2019,Amela,24.08928571
01/06/2019,Yuriria,14.08333333
01/06/2019,Zempoala,9.96
01/07/2019,Chapala,17.72580645
01/07/2019,Amela,23.0483871
